NCESSCH School ID,CT Unemployment Rate,CT Pct Adults with College Degree,CT Pct Childre In Married Couple Family,CT Median Household Income,School ACT average (or equivalent if SAT score),School Pct Free and Reduced Lunch
120174004444,12%,69%,76%,52393,21.32,31%
120174004445,3%,77%,82%,112375,22.47,5%
120174007246,4%,86%,92%,141591,23.86,3%
120174007388,4%,86%,85%,106951,23.08,5%
120177001932,32%,25%,10%,15104,21.67,34%
120177001933,11%,38%,64%,27144,19.74,60%
120177002104,17%,41%,17%,29421,20.98,68%
120177002671,17%,46%,38%,33750,19.10,54%
120177003503,14%,58%,78%,49083,19.49,49%
120177004148,12%,48%,65%,41963,19.32,47%
120180001941,22%,24%,22%,19044,15.95,68%
120180001942,11%,48%,71%,31701,16.73,54%
120180004452,4%,68%,85%,50428,21.74,20%
120183001946,16%,40%,53%,38725,20.23,49%
120192001969,14%,61%,49%,44120,21.20,42%
120192001986,17%,44%,21%,29652,20.37,58%
120192001990,8%,42%,47%,38316,20.86,40%
120192001995,8%,60%,63%,42979,23.28,27%
120192002005,9%,63%,78%,30074,21.94,36%
120192002641,7%,52%,71%,50935,19.27,53%
120192002968,14%,49%,51%,33397,19.25,47%
120192002970,15%,51%,69%,46538,19.25,53%
120192007281,11%,53%,35%,28289,20.47,45%
120195002017,4%,67%,68%,59738,22.35,29%
120198002020,9%,45%,48%,24680,17.74,49%
120198002022,7%,40%,52%,36717,18.08,44%
120198002025,14%,40%,60%,32247,16.83,46%
120198003941,5%,78%,79%,59353,19.54,21%
120201203140,43%,100%,,,26.31,25%
120201303021,12%,72%,32%,37798,22.13,22%
120201502912,8%,74%,13%,22372,22.69,17%
130000100608,14%,48%,23%,39269,20.79,44%
130000101964,27%,27%,18%,18240,20.03,51%
130000102444,14%,55%,54%,43480,19.93,55%
130006000010,4%,42%,58%,41856,19.00,72%
130009000015,10%,26%,61%,27891,17.49,69%
130012000066,9%,84%,31%,57625,21.35,39%
130012000089,25%,49%,3%,29926,15.51,100%
130012001865,24%,66%,43%,58750,17.66,70%
130012001939,11%,92%,78%,61806,17.00,100%
130012002212,2%,87%,53%,54437,20.57,37%
130012003540,19%,57%,16%,16726,19.37,99%
130012003542,19%,57%,16%,16726,16.68,99%
130012003543,19%,57%,16%,16726,15.20,99%
130012003544,19%,57%,16%,16726,15.61,99%
130012003552,14%,54%,32%,33474,16.32,99%
130012003555,14%,54%,32%,33474,17.88,99%
130012003567,36%,42%,19%,23708,16.32,99%
130012003572,14%,54%,32%,33474,15.46,99%
130012003861,30%,41%,20%,21875,21.25,99%
130012003906,30%,41%,20%,21875,16.95,99%
130012003960,30%,41%,20%,21875,14.83,99%
130012003980,14%,52%,33%,30563,16.39,99%
130012003985,11%,62%,77%,52872,16.68,99%
130012004059,24%,58%,42%,27381,18.27,99%
130015002357,7%,30%,71%,34320,18.61,55%
130021000158,4%,31%,30%,26069,17.81,66%
130023104095,17%,78%,0%,24083,17.83,67%
130024000169,7%,40%,72%,38125,20.59,50%
130029000173,12%,46%,76%,46000,19.32,43%
130029002350,11%,56%,68%,55648,20.08,44%
130033000181,9%,46%,88%,64975,20.27,50%
130033001914,9%,55%,40%,45934,20.81,42%
130033002352,12%,46%,71%,45913,20.86,43%
130036000931,23%,42%,58%,22365,17.32,74%
130039000192,17%,46%,61%,31389,18.32,50%
130042001918,22%,45%,25%,30024,15.90,80%
130042001942,6%,37%,33%,23973,17.66,73%
130042001943,14%,58%,66%,25419,15.00,84%
130042001944,31%,38%,40%,21781,15.05,90%
130042002477,15%,30%,11%,14398,16.27,83%
130042002610,9%,63%,86%,65728,16.95,59%
130042003726,1%,89%,98%,85373,19.62,54%
130044000253,9%,45%,54%,39063,20.05,46%
130048000258,17%,34%,56%,31263,19.88,49%
130051002455,12%,50%,54%,44851,21.18,19%
130054000263,23%,43%,41%,30941,18.35,96%
130057001873,7%,70%,47%,47331,21.42,16%
130057002396,11%,42%,65%,43534,19.08,56%
130060000274,14%,33%,58%,36708,21.98,30%
130063000281,8%,51%,57%,37075,18.17,59%
130063000285,9%,68%,35%,27238,19.32,54%
130063003550,7%,62%,74%,47366,20.76,38%
130066001991,9%,46%,47%,37308,18.20,100%
130069000301,13%,38%,49%,40080,18.91,77%
130072000305,5%,44%,57%,35970,19.66,46%
130078000315,8%,71%,91%,74048,20.74,34%
130081000317,5%,40%,59%,37292,18.42,59%
130084000324,17%,48%,55%,42063,19.84,52%
130084000330,13%,34%,67%,40962,18.54,48%
130084000331,18%,21%,52%,25474,19.37,50%
130084002097,9%,38%,75%,43429,19.27,54%
130084003582,24%,31%,74%,33324,20.35,62%
130087000334,18%,21%,52%,25474,19.74,44%
130090000341,9%,55%,40%,45934,21.47,37%
130093000350,10%,51%,55%,41522,22.67,46%
130093000353,6%,55%,73%,52234,21.42,34%
130093003688,6%,70%,72%,63986,21.40,24%
130099000358,15%,43%,63%,44593,18.98,49%
130102000376,11%,38%,8%,24727,16.39,78%
130102000382,20%,50%,34%,30147,16.17,65%
130102000388,12%,52%,31%,43333,18.22,57%
130102000413,4%,41%,53%,26748,16.25,68%
130102000415,9%,62%,51%,41975,18.69,48%
130102002245,3%,88%,68%,68571,24.35,8%
130102003941,19%,48%,26%,35536,15.29,82%
130102003978,6%,81%,82%,55000,19.93,22%
130102004088,10%,70%,65%,64188,18.52,41%
130105003525,18%,44%,57%,36000,18.30,39%
130108000418,12%,25%,67%,28977,17.98,66%
130111000425,7%,79%,85%,85417,22.52,20%
130111000432,18%,43%,65%,50000,23.11,32%
130111001428,4%,65%,65%,57431,23.06,21%
130111002100,5%,84%,85%,87297,22.74,17%
130111003308,8%,78%,75%,85872,22.62,13%
130111004019,10%,63%,75%,59083,21.96,19%
130114002457,8%,51%,62%,43139,19.86,13%
130117000449,7%,83%,56%,15747,20.49,71%
130117000453,9%,63%,67%,27917,18.88,75%
130117002831,24%,35%,16%,16211,18.91,57%
130123000467,15%,58%,34%,30978,17.22,100%
130123000473,8%,65%,80%,57882,17.00,100%
130123000474,15%,40%,71%,35594,18.42,100%
130123000477,7%,40%,26%,39153,17.66,100%
130123000487,13%,45%,49%,42455,17.25,100%
130123002067,10%,64%,55%,55619,17.64,100%
130123002068,12%,63%,44%,55972,17.05,100%
130123002523,11%,56%,29%,40686,16.88,100%
130123003855,28%,45%,45%,25583,16.93,100%
130126000504,10%,36%,57%,32625,16.88,55%
130129000513,5%,93%,81%,104632,25.79,4%
130129000521,17%,45%,60%,36049,16.98,76%
130129000525,5%,82%,64%,64418,20.71,33%
130129000529,12%,78%,51%,45969,23.69,38%
130129000533,10%,83%,78%,72707,18.93,51%
130129000537,14%,45%,58%,36157,20.01,54%
130129000545,11%,74%,88%,66563,20.86,33%
130129000559,11%,52%,44%,43619,17.59,68%
130129000574,6%,71%,68%,74327,17.98,66%
130129001881,8%,88%,90%,129653,24.28,10%
130129001994,5%,87%,85%,99688,24.04,7%
